id;host_id;host_name;neighbourhood_cleansed;property_type;price;availability_365;number_of_reviews;review_scores_rating
32959716;248037095;Tomeu;Andratx;Entire rental unit;87;220;95;4,84
32959778;248037095;Tomeu;Andratx;Entire rental unit;87;234;78;4,83
32959816;248037095;Tomeu;Andratx;Entire rental unit;87;208;72;4,83
32963544;248083840;Juan;Alcúdia;Entire vacation home;82;247;45;4,64
32234345;80839530;Homerti;Alcúdia;Entire rental unit;334;71;4;5
32247865;181469128;Sun Villas;Campos;Entire home;260;150;5;4,8
32982338;16295517;Carlos;Fornalutx;Entire villa;189;204;84;4,88
32983350;240408205;Miguel;Sóller;Room in boutique hotel;115;346;431;4,87
32987691;9587769;Elena;Felanitx;Entire condo;110;226;46;4,91
32996715;248351328;Jaume;Valldemossa;Entire townhouse;200;14;87;4,84
32999998;228504036;Antonia;Pollença;Entire rental unit;229;8;82;4,94
33000048;228504036;Antonia;Pollença;Entire rental unit;229;1;12;4,92
33012369;248456537;Antonia;Pollença;Entire rental unit;350;254;23;5
33013434;248464488;Thomas;Manacor;Entire home;219;197;16;4,69
33027026;240408205;Miguel;Sóller;Room in boutique hotel;162;302;28;4,71
32281046;242277543;Ana Maria;Sóller;Entire rental unit;171;338;87;4,91
32973217;4645996;Svitlana;Sant Llorenç des Cardassar;Entire home;316;165;3;4,67
33360289;65949984;Bauló Mar;Santa Margalida;Entire condo;115;190;52;4,4
33369595;104655996;Cristina;Alcúdia;Entire rental unit;152;364;1;5
33379353;40697599;Marines;Santanyí;Entire rental unit;167;255;23;4,78
33380053;80839530;Homerti;Santanyí;Entire villa;423;0;18;4,72
33381605;5874106;Miquel;Felanitx;Entire home;83;360;28;4,57
33397481;251294433;Francesca;Santanyí;Entire rental unit;140;192;83;4,88
33411454;3207615;Panchorentals . Es;Calvià;Entire home;536;0;28;4,82
32284410;242316949;MallorcaWeek;Alcúdia;Entire home;178;228;91;4,86
32285274;124518242;Andreas;Manacor;Entire rental unit;130;152;2;5
33029683;15117898;Ralf;Santanyí;Entire condo;79;231;148;4,9
33030229;236731004;Jorge Carlos Y Katina;Deyá;Entire home;335;0;32;4,97
33033568;122491844;Sealand Villas;Pollença;Entire villa;162;67;13;4,92
33033571;122491844;Sealand Villas;Pollença;Entire villa;134;234;16;4,56
33037919;12605352;Pepe;Artà;Entire home;319;184;2;5
33039385;248664811;Francesca;Santanyí;Entire home;359;29;60;4,52
33040974;248639527;Sonia;Calvià;Entire villa;202;208;11;5
33057396;107259109;Miguel - Interhome;Vilafranc de Bonany;Entire home;211;234;0;4,488181818181818
33412109;4985887;Mallorca House Rent;Felanitx;Entire villa;215;145;4;4,25
33416090;22389278;Francisco;Santanyí;Entire home;500;125;48;4,94
33416146;249824473;Paula Soledad;Artà;Entire home;273;0;0;4,725454545454546
33419389;80839530;Homerti;Selva;Entire villa;560;85;4;5
33423612;205499549;Holidu;Artà;Entire villa;352;362;8;5
33423764;205499549;Holidu;Costitx;Entire villa;215;364;0;4,691978021978023
33439878;128854180;Alicia Marín Rubio;Esporles;Entire cottage;209;96;83;4,96
33440694;24926928;Dickinson;Pollença;Entire villa;283;0;3;4,67
33726995;190141089;Darren;Sóller;Entire rental unit;120;96;42;4,67
33057473;107259109;Miguel - Interhome;Alcúdia;Entire rental unit;136;263;48;4,73
33057518;107259109;Miguel - Interhome;Mancor de la Vall;Entire home;178;271;55;4,85
33057616;107259109;Miguel - Interhome;Alcúdia;Entire rental unit;271;226;3;5
33059230;10188062;Maria Rosa;Pollença;Entire rental unit;194;192;0;3,7925
33068257;150265086;Miguel;Palma de Mallorca;Entire home;641;223;43;4,86
33071339;248888769;Blanca & Matías;Felanitx;Entire townhouse;241;0;53;4,72
33081999;80636743;Foravila;Vilafranc de Bonany;Entire villa;189;237;0;4,659677419354837
33727181;254244390;Juan Francisco;Alcúdia;Entire villa;400;134;2;5
33730382;254263027;Juan Carlos;Sóller;Entire rental unit;250;153;86;4,78
33730398;130722130;Fincas;Llucmajor;Entire home;106;262;18;4,56
33735372;205499549;Holidu;Santanyí;Entire villa;232;364;2;5
33737459;151667939;Slow;Puigpunyent;Entire villa;215;308;44;4,61
33739937;245708611;YourHouse;Llucmajor;Entire villa;208;247;40;4,53
33086988;11810390;Villasmar;Alcúdia;Entire chalet;201;210;37;4,57
33092181;205499549;Holidu;Son Servera;Entire villa;301;344;1;5
33092935;238654973;Carmen;Alcúdia;Private room in serviced apartment;100;269;25;4,72
